# 🎮 場域 Admin 後台 API endpoints
#
# 格式：METHOD /path expected_status auth_required
# auth_required: yes = 需 admin token, no = 公開
#
# 未認證時所有 admin endpoint 應回 401（除非標 no）
# 採頁面導向：每頁 1-3 個關鍵 endpoint
#
# Source: server/routes/admin-*.ts

# ─── 公開 endpoint（無 auth）──────────────────────────────────
GET /api/admin/engagement/super-leaders/test-fid 401 yes
GET /api/admin/engagement/welcome-squads/test-fid 401 yes
GET /api/admin/engagement/channels 401 yes
POST /api/admin/engagement/channels 401 yes

GET /api/admin/ab-experiments 401 yes
POST /api/admin/ab-experiments 401 yes
GET /api/admin/ab-experiments/test-id 401 yes
PATCH /api/admin/ab-experiments/test-id 401 yes
DELETE /api/admin/ab-experiments/test-id 401 yes
GET /api/admin/ab-experiments/test-id/results 401 yes

# ─── walkie ─────────────────────────────────────────────────────
POST /api/admin/walkie/broadcast-tokens 401 yes
GET /api/admin/walkie/live-stats 401 yes
